Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6088119511456546,0.607611608156592,0.6213302166458974,0.6143943423736468,0.6567553846855143
Random Forest,0.9640036959104286,0.9701797994213172,0.9576692957266809,0.9638839550029603,0.9920328256270928
